Category,Category (copy),City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Segment (Blues),Ship Date,Ship Mode,State,Sub-Category,Year,Bottom Half,Discount,Number of Records,Outer Venn Position,Overlapping Customers,Overlapping Position,Profit,Profit Ratio,Quantity,Sales
Furniture,Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,Consumer,14-06-2015,Standard Class,California,Tables,2015,1,0.2,1,0,1,0,85.3092,5%,9,"1,706.18"
Technology,Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,9/6/2015,CA-2015-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,Consumer,14-06-2015,Standard Class,California,Phones,2015,1,0.2,1,0,1,0,68.3568,8%,4,911.424
Office Supplies,Office Supplies,Concord,United States,AA-10480,Andrew Allen,15-04-2018,CA-2018-114412,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,Consumer,20-04-2018,Standard Class,North Carolina,Paper,2018,1,0.2,1,0,0,0,5.4432,35%,3,15.552
Office Supplies,Office Supplies,Seattle,United States,IM-15070,Irene Maddox,5/12/2017,CA-2017-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,Consumer,10/12/2017,Standard Class,Washington,Binders,2017,1,0.2,1,0,1,0,132.5922,33%,3,407.976
Office Supplies,Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-2016,US-2016-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,Home Office,26-11-2016,Standard Class,Texas,Appliances,2016,1,0.8,1,0,1,0,-123.858,-180%,5,68.81
Office Supplies,Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-2016,US-2016-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,Home Office,26-11-2016,Standard Class,Texas,Binders,2016,1,0.8,1,0,1,0,-3.816,-150%,3,2.544
Office Supplies,Office Supplies,Madison,United States,PK-19075,Pete Kriz,11/11/2015,CA-2015-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,Consumer,18-11-2015,Standard Class,Wisconsin,Storage,2015,1,0,1,0,1,0,13.3176,2%,6,665.88
Office Supplies,Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,13-05-2015,CA-2015-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,Consumer,15-05-2015,Second Class,Utah,Storage,2015,1,0,1,0,1,0,9.99,18%,2,55.5
Office Supplies,Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2015,CA-2015-143336,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,Consumer,1/9/2015,Second Class,California,Art,2015,1,0,1,0,0,0,2.4824,29%,2,8.56
Technology,Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2015,CA-2015-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,Consumer,1/9/2015,Second Class,California,Phones,2015,1,0.2,1,0,0,0,16.011,7%,3,213.48
Office Supplies,Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,27-08-2015,CA-2015-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,Consumer,1/9/2015,Second Class,California,Binders,2015,1,0.2,1,0,0,0,7.384,33%,4,22.72
Office Supplies,Office Supplies,Fremont,United States,KB-16585,Ken Black,9/12/2017,CA-2017-137330,68025,OFF-AR-10000246,Newell 318,Central,22,Corporate,Corporate,13-12-2017,Standard Class,Nebraska,Art,2017,1,0,1,0,1,0,5.0596,26%,7,19.46
Office Supplies,Office Supplies,Fremont,United States,KB-16585,Ken Black,9/12/2017,CA-2017-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,23,Corporate,Corporate,13-12-2017,Standard Class,Nebraska,Appliances,2017,1,0,1,0,1,0,15.6884,26%,7,60.34
Furniture,Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,16-07-2018,US-2018-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,24,Consumer,Consumer,18-07-2018,Second Class,Pennsylvania,Chairs,2018,1,0.3,1,1,1,0.5,-1.0196,-1%,2,71.372
Furniture,Furniture,Orem,United States,EB-13870,Emily Burns,25-09-2016,CA-2016-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,Consumer,Consumer,30-09-2016,Standard Class,Utah,Tables,2016,1,0,1,0,1,0,240.2649,23%,3,"1,044.63"
Office Supplies,Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-2017,CA-2017-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,Consumer,Consumer,20-01-2017,Second Class,California,Binders,2017,1,0.2,1,0,1,0,4.2224,36%,2,11.648
Technology,Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,16-01-2017,CA-2017-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,Consumer,Consumer,20-01-2017,Second Class,California,Accessories,2017,1,0,1,0,1,0,11.7741,13%,3,90.57
Furniture,Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,28,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Bookcases,2016,1,0.5,1,1,1,0.5,"-1,665.05",-54%,7,"3,083.43"
Office Supplies,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,29,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Binders,2016,1,0.7,1,1,1,0.5,-7.0532,-73%,2,9.618
Furniture,Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,30,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Furnishings,2016,1,0.2,1,1,1,0.5,15.525,13%,3,124.2
Office Supplies,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,31,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Envelopes,2016,1,0.2,1,1,1,0.5,1.1016,34%,2,3.264
Office Supplies,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,32,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Art,2016,1,0.2,1,1,1,0.5,9.7092,11%,6,86.304
Office Supplies,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,33,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Binders,2016,1,0.7,1,1,1,0.5,-5.715,-83%,6,6.858
Office Supplies,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,17-09-2016,US-2016-150630,19140,OFF-AR-10001683,Lumber Crayons,East,34,Consumer,Consumer,21-09-2016,Standard Class,Pennsylvania,Art,2016,1,0.2,1,1,1,0.5,3.546,23%,2,15.76
Office Supplies,Office Supplies,Houston,United States,MA-17560,Matt Abelman,19-10-2018,CA-2018-107727,77095,OFF-PA-10000249,Easy-staple paper,Central,35,Home Office,Home Office,23-10-2018,Second Class,Texas,Paper,2018,1,0.2,1,0,1,0,9.9468,34%,3,29.472
Technology,Technology,Richardson,United States,GH-14485,Gene Hale,8/12/2017,CA-2017-117590,75080,TEC-PH-10004977,GE 30524EE4,Central,36,Corporate,Corporate,10/12/2017,First Class,Texas,Phones,2017,1,0.2,1,0,0,0,123.4737,11%,7,"1,097.54"
Furniture,Furniture,Richardson,United States,GH-14485,Gene Hale,8/12/2017,CA-2017-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,37,Corporate,Corporate,10/12/2017,First Class,Texas,Furnishings,2017,1,0.6,1,0,0,0,-147.963,-78%,5,190.92
Office Supplies,Office Supplies,Houston,United States,SN-20710,Steve Nguyen,27-12-2016,CA-2016-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,38,Home Office,Home Office,31-12-2016,Standard Class,Texas,Envelopes,2016,1,0.2,1,0,0,0,35.415,31%,9,113.328
Furniture,Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-2016,CA-2016-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,39,Home Office,Home Office,31-12-2016,Standard Class,Texas,Bookcases,2016,1,0.32,1,0,0,0,-46.9764,-9%,3,532.3992
Furniture,Furniture,Houston,United States,SN-20710,Steve Nguyen,27-12-2016,CA-2016-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,40,Home Office,Home Office,31-12-2016,Standard Class,Texas,Chairs,2016,1,0.3,1,0,0,0,-15.147,-7%,3,212.058
Technology,Technology,Houston,United States,SN-20710,Steve Nguyen,27-12-2016,CA-2016-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,41,Home Office,Home Office,31-12-2016,Standard Class,Texas,Phones,2016,1,0.2,1,0,0,0,41.7564,11%,4,371.168
Technology,Technology,Naperville,United States,LC-16930,Linda Cazamias,10/9/2018,CA-2018-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,42,Corporate,Corporate,15-09-2018,Standard Class,Illinois,Phones,2018,1,0.2,1,0,1,0,16.5564,11%,4,147.168
Office Supplies,Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,17-07-2017,CA-2017-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,Corporate,Corporate,22-07-2017,Standard Class,California,Storage,2017,1,0,1,0,0,0,3.894,5%,2,77.88
Office Supplies,Office Supplies,Melbourne,United States,ES-14080,Erin Smith,19-09-2018,CA-2018-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,44,Corporate,Corporate,23-09-2018,Standard Class,Florida,Storage,2018,1,0.2,1,0,1,0,9.5616,10%,2,95.616
Technology,Technology,Eagan,United States,ON-18715,Odella Nelson,11/3/2017,CA-2017-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45,Corporate,Corporate,13-03-2017,First Class,Minnesota,Accessories,2017,1,0,1,0,1,0,19.7714,43%,2,45.98
Office Supplies,Office Supplies,Eagan,United States,ON-18715,Odella Nelson,11/3/2017,CA-2017-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,46,Corporate,Corporate,13-03-2017,First Class,Minnesota,Binders,2017,1,0,1,0,1,0,8.2062,47%,2,17.46
Office Supplies,Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,20-10-2015,CA-2015-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,47,Consumer,Consumer,25-10-2015,Second Class,Michigan,Storage,2015,1,0,1,0,1,0,8.4784,4%,4,211.96
Technology,Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-2017,CA-2017-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,48,Consumer,Consumer,25-06-2017,Standard Class,Delaware,Accessories,2017,1,0,1,1,1,0.5,4.95,11%,3,45
Technology,Technology,Dover,United States,LH-16900,Lena Hernandez,20-06-2017,CA-2017-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,49,Consumer,Consumer,25-06-2017,Standard Class,Delaware,Phones,2017,1,0,1,1,1,0.5,6.104,28%,2,21.8
Office Supplies,Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-2016,CA-2016-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,50,Consumer,Consumer,22-04-2016,Standard Class,Indiana,Binders,2016,1,0,1,0,1,0,17.9634,47%,6,38.22
Office Supplies,Office Supplies,New Albany,United States,DP-13000,Darren Powers,18-04-2016,CA-2016-115742,47150,OFF-LA-10002762,Avery 485,Central,51,Consumer,Consumer,22-04-2016,Standard Class,Indiana,Labels,2016,1,0,1,0,1,0,35.3346,47%,6,75.18
Furniture,Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-2016,CA-2016-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,52,Consumer,Consumer,22-04-2016,Standard Class,Indiana,Furnishings,2016,1,0,1,0,1,0,2.9568,48%,2,6.16
Furniture,Furniture,New Albany,United States,DP-13000,Darren Powers,18-04-2016,CA-2016-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,53,Consumer,Consumer,22-04-2016,Standard Class,Indiana,Chairs,2016,1,0,1,0,1,0,17.0981,19%,1,89.99
Office Supplies,Office Supplies,New York City,United States,JM-15265,Janet Molinari,11/12/2017,CA-2017-105816,10024,OFF-FA-10000304,Advantus Push Pins,East,54,Corporate,Corporate,17-12-2017,Standard Class,New York,Fasteners,2017,1,0,1,1,1,0.5,6.2566,41%,7,15.26
Technology,Technology,New York City,United States,JM-15265,Janet Molinari,11/12/2017,CA-2017-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,55,Corporate,Corporate,17-12-2017,Standard Class,New York,Phones,2017,1,0,1,1,1,0.5,298.6855,29%,5,"1,029.95"
Office Supplies,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,56,Consumer,Consumer,18-06-2017,First Class,New York,Storage,2017,1,0,1,1,0,0.5,52.14,25%,6,208.56
Office Supplies,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,OFF-PA-10001569,Xerox 232,East,57,Consumer,Consumer,18-06-2017,First Class,New York,Paper,2017,1,0,1,1,0,0.5,15.552,48%,5,32.4
Furniture,Furniture,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,58,Consumer,Consumer,18-06-2017,First Class,New York,Chairs,2017,1,0.1,1,1,0,0.5,7.098,2%,5,319.41
Office Supplies,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,59,Consumer,Consumer,18-06-2017,First Class,New York,Paper,2017,1,0,1,1,0,0.5,6.9888,48%,2,14.56
Technology,Technology,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,60,Consumer,Consumer,18-06-2017,First Class,New York,Accessories,2017,1,0,1,1,0,0.5,3.3,11%,2,30
Office Supplies,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,OFF-BI-10001460,Plastic Binding Combs,East,61,Consumer,Consumer,18-06-2017,First Class,New York,Binders,2017,1,0.2,1,1,0,0.5,16.362,34%,4,48.48
Office Supplies,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,17-06-2017,CA-2017-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,62,Consumer,Consumer,18-06-2017,First Class,New York,Art,2017,1,0,1,1,0,0.5,0.84,50%,1,1.68
Technology,Technology,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2016,CA-2016-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,Consumer,Consumer,30-11-2016,Standard Class,California,Accessories,2016,1,0,1,0,1,0,6.1512,44%,2,13.98
Office Supplies,Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2016,CA-2016-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,Consumer,Consumer,30-11-2016,Standard Class,California,Binders,2016,1,0.2,1,0,1,0,9.3612,36%,6,25.824
Office Supplies,Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2016,CA-2016-135545,90004,OFF-PA-10003892,Xerox 1943,West,65,Consumer,Consumer,30-11-2016,Standard Class,California,Paper,2016,1,0,1,0,1,0,68.9631,47%,3,146.73
Furniture,Furniture,Los Angeles,United States,KM-16720,Kunst Miller,24-11-2016,CA-2016-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,Consumer,Consumer,30-11-2016,Standard Class,California,Furnishings,2016,1,0,1,0,1,0,22.3328,28%,4,79.76
Furniture,Furniture,Chicago,United States,PS-18970,Paul Stevenson,30-04-2016,US-2016-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,67,Home Office,Home Office,5/5/2016,Standard Class,Illinois,Chairs,2016,1,0.3,1,0,1,0,-15.2225,-7%,5,213.115
Office Supplies,Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,5/12/2015,CA-2015-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,Corporate,Corporate,10/12/2015,Standard Class,Arizona,Art,2015,1,0.2,1,0,1,0,111.3024,10%,8,"1,113.02"
Technology,Technology,Gilbert,United States,BS-11590,Brendan Sweed,5/12/2015,CA-2015-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,Corporate,Corporate,10/12/2015,Standard Class,Arizona,Phones,2015,1,0.2,1,0,1,0,62.988,38%,4,167.968
Office Supplies,Office Supplies,Springfield,United States,KD-16270,Karen Daniels,4/6/2017,CA-2017-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,70,Consumer,Consumer,6/6/2017,First Class,Virginia,Paper,2017,1,0,1,0,1,0,35.6636,47%,2,75.88
Office Supplies,Office Supplies,New York City,United States,HM-14980,Henry MacAllister,18-09-2017,CA-2017-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,71,Consumer,Consumer,23-09-2017,Standard Class,New York,Binders,2017,1,0.2,1,1,1,0.5,1.731,38%,1,4.616
Office Supplies,Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,14-09-2018,CA-2018-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,72,Consumer,Consumer,17-09-2018,Second Class,Michigan,Paper,2018,1,0,1,0,1,0,8.763,46%,3,19.05
Furniture,Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-2016,US-2016-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,73,Consumer,Consumer,2/5/2016,Standard Class,Tennessee,Chairs,2016,1,0.2,1,0,1,0,-114.3912,-14%,8,831.936
Furniture,Furniture,Memphis,United States,JE-15745,Joel Eaton,26-04-2016,US-2016-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,74,Consumer,Consumer,2/5/2016,Standard Class,Tennessee,Furnishings,2016,1,0.2,1,0,1,0,1.213,1%,2,97.04
Office Supplies,Office Supplies,Memphis,United States,JE-15745,Joel Eaton,26-04-2016,US-2016-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,75,Consumer,Consumer,2/5/2016,Standard Class,Tennessee,Storage,2016,1,0.2,1,0,1,0,-18.196,-25%,1,72.784
Office Supplies,Office Supplies,Houston,United States,KB-16600,Ken Brennan,9/12/2018,US-2018-118038,77041,OFF-BI-10004182,Economy Binders,Central,76,Corporate,Corporate,11/12/2018,First Class,Texas,Binders,2018,1,0.8,1,0,1,0,-1.9344,-155%,3,1.248
Furniture,Furniture,Houston,United States,KB-16600,Ken Brennan,9/12/2018,US-2018-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,77,Corporate,Corporate,11/12/2018,First Class,Texas,Furnishings,2018,1,0.6,1,0,1,0,-5.8248,-60%,3,9.708
Office Supplies,Office Supplies,Houston,United States,KB-16600,Ken Brennan,9/12/2018,US-2018-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,78,Corporate,Corporate,11/12/2018,First Class,Texas,Storage,2018,1,0.2,1,0,1,0,2.724,10%,3,27.24
Furniture,Furniture,Houston,United States,JE-15745,Joel Eaton,26-11-2015,US-2015-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,79,Consumer,Consumer,1/12/2015,Second Class,Texas,Furnishings,2015,1,0.6,1,0,1,0,-14.475,-75%,5,19.3
Office Supplies,Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12/6/2017,CA-2017-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,80,Corporate,Corporate,15-06-2017,First Class,Alabama,Appliances,2017,1,0,1,0,1,0,56.2032,27%,1,208.16
Office Supplies,Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,12/6/2017,CA-2017-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,81,Corporate,Corporate,15-06-2017,First Class,Alabama,Binders,2017,1,0,1,0,1,0,8.0352,48%,3,16.74
Office Supplies,Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12/10/2015,CA-2015-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,Consumer,Consumer,16-10-2015,Standard Class,California,Art,2015,1,0,1,0,1,0,4.172,28%,5,14.9
Office Supplies,Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,12/10/2015,CA-2015-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,Consumer,Consumer,16-10-2015,Standard Class,California,Storage,2015,1,0,1,0,1,0,6.2031,29%,1,21.39
Office Supplies,Office Supplies,Durham,United States,JC-16105,Julie Creighton,3/9/2016,CA-2016-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,84,Corporate,Corporate,8/9/2016,Standard Class,North Carolina,Envelopes,2016,1,0.2,1,0,1,0,62.8075,31%,7,200.984
Office Supplies,Office Supplies,Chicago,United States,CS-12400,Christopher Schild,13-11-2018,US-2018-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,85,Home Office,Home Office,16-11-2018,First Class,Illinois,Storage,2018,1,0.2,1,0,1,0,-48.9549,-21%,3,230.376
Furniture,Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,28-05-2018,CA-2018-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,86,Consumer,Consumer,30-05-2018,Second Class,South Carolina,Chairs,2018,1,0,1,0,1,0,33.2156,11%,2,301.96
Technology,Technology,Rochester,United States,PG-18895,Paul Gonzalez,26-10-2018,CA-2018-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,87,Consumer,Consumer,2/11/2018,Standard Class,Minnesota,Accessories,2018,1,0,1,0,1,0,6.7966,34%,1,19.99
Office Supplies,Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,26-10-2018,CA-2018-155558,55901,OFF-LA-10000134,Avery 511,Central,88,Consumer,Consumer,2/11/2018,Standard Class,Minnesota,Labels,2018,1,0,1,0,1,0,2.9568,48%,2,6.16
